タイトル,巻数,著者・編者,出版元,出版年
美浜町歴史シンポジウム記録集５　ここまで分かった！興道寺廃寺〜興道寺廃寺をとりまく地域、風景、人々〜,,,,
美浜町歴史シンポジウム記録集６　古代、耳川流域に造仏師がやってきた！〜興道寺廃寺出土塑像をめぐって〜,,,,
美浜町歴史シンポジウム記録集７　若狭国と三方郡のはじまり〜若狭の古代社会のあり方から考える〜,,,,
美浜町歴史シンポジウム記録集９　若狭の塩、再考〜古代若狭の塩の生産と流通をめぐって〜,,,,
美浜町歴史シンポジウム記録集１０　再論、若狭の古代寺院〜遠敷郡の古代寺院、そして興道寺廃寺〜,,,,
美浜町歴史シンポジウム記録集１１　古代、若狭海道〜潟湖、港湾、水上交通から考える〜,,,,
美浜町歴史シンポジウム記録集１２　耳別氏、若狭に起つ〜若狭の古代豪族、耳別氏を考える〜,,,,
美浜町歴史シンポジウム記録集１３　復元！興道寺廃寺をとりまく景色〜古代寺院の景観を考える〜,,,,
シンポジウム山元遺跡は何を語るのかー邪馬台国前夜の村上ー,,,,
報告野辺山シンポジウム1981,,,,
八ヶ岳山麓における縄文時代の終末と生業変化　予稿集,,,,
古代と未来のかけ橋　船来山古墳群２,,,,
大島畠田遺跡の時代を語るー島津荘成立以前の都城盆地の動向ー,,,,
第15回　「語り」と民俗文化ー古事記1300年紀に向けてー,,,,
順慶と筒井城を語る,,,,
弥生都市は語るー環濠からのメッセージー,,,,
秀吉の九州平定と黒田官兵衛,,,,
ユネスコ・シルクロード海洋ルート調査　奈良国際シンポジウム'91 報告書,,,,
ユネスコ・シルクロード海洋ルート調査　奈良国際シンポジウム'92 報告書（English）,,,,
歴史フォーラム　古代の装飾品からみた大陸文化　記録集,,栗東市教育委員会,,2004
忘れられた霊場をさぐる　ー栗東・湖南の山寺復元の試みー　報告書,,栗東市教育委員会,,2005
忘れられた霊場をさぐる３　ー近江における山寺の分布ー　報告書,,栗東市教育委員会,,2008
歴史フォーラム　縄文人のくらしを探る　記録集,,栗東市教育委員会,,2004
埋蔵文化財シンポジウム　邪馬台国時代の大型建物ー下鈎遺跡、伊勢遺跡の謎に迫るー　記録集,,栗東市教育委員会,,2001
焼き物にみる武士の心　記録集,,都城市教育委員会文化財課,,2016
紀の国の歩み　財団法人和歌山県文化財センター発掘20年の記録,,和歌山県文化財センター,,2008
公開シンポジウム　岩陰と古墳ー海辺に葬られた人々ー　発表要旨集,,和歌山県文化財センター,,2008
公開シンポジウム　紀ノ川流域の縄文文化　資料集,,和歌山県文化財センター,,2009
公開シンポジウム　寺を造るー北山廃寺を支えた古代の技術ー　発表要旨集,,和歌山県文化財センター,,2011
和歌山平野の集落遺跡ー弥生時代から古墳時代へー　資料集,,和歌山県文化財センター,,2011
公開シンポジウム　自然災害と考古学　ー発掘調査から防災を考えるー,,和歌山県文化財センター,,2012
公開シンポジウム　農耕社会成立期の木工　ー立野遺跡を考えるー　資料集,,和歌山県文化財センター,,2013
公開シンポジウム　紀ノ川北岸の古墳文化ー初期須恵器・埴輪・陶棺からみた地域の歴史ー　資料集,,和歌山県文化財センター,,2014
シンポジウム　熊野三山の考古学　発掘調査から見た信仰の始まりと展開　発表資料集,,和歌山県文化財センター,,2014
公開シンポジウム　和歌山城と城下町の風景　発表資料集,,和歌山県文化財センター,,2015
公開シンポジウム　湯川氏の城・館・城下町　発表資料集,,和歌山県文化財センター,,2016
公開シンポジウム　中世熊野の港湾遺跡　新宮津を考える　発表資料集,,和歌山県文化財センター,,2018
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2009
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2010
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2011
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2012
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2013
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2014
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2015
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2016
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2017
地宝のひびきー和歌山県内文化財調査報告会ー　,,和歌山県文化財センター,,2018
本州東北部における古墳時代の終末と律令社会の成立,,福島大学行政政策学類考古学研究室,,2007
シンポジウム予稿集　３D考古学の挑戦　考古遺物・遺構の三次元計測における研究の現状と課題,,早稲田大学総合人文科学研究センター,,2016
シンポジウム予稿集　3D考古学の再挑戦　遺跡・遺構の非破壊調査研究,,早稲田大学総合研究機構,,2017
高梨学術奨励基金年報　平成24年度　研究成果概要報告,,公益財団法人　高梨学術奨励基金,,2012
考古論集 : 慶祝松崎寿和先生六十三歳論文集,,松崎寿和先生退官記念事業会編,松崎寿和先生退官記念事業会,1977
宗教と考古学,,金関恕先生の古稀をお祝いする会編,勉誠社,1997
考古学論叢 : 関西大学考古学研究室開設参拾周年記念,,関西大学文学部考古学研究室編集,関西大学,1983
日本における初期弥生文化の成立(横山浩一先生退官記念論文集2),2,横山浩一先生退官記念事業会編,横山浩一先生退官記念事業会,1991
考古学と移住・移動 ,同志社大学考古学シリーズ ; 2,森浩一編,同志社大学考古学シリーズ刊行会,1985
考古学と地域文化,同志社大学考古学シリーズ ; 3,森浩一編,同志社大学考古学シリーズ刊行会,1987
南西諸島の先史時代 : 白木原和美南島関係論文選,0,龍田考古会編,龍田考古会(熊本大学文学部考古学研究室内),1999
先史学・考古学論究 : 熊本大学文学部考古学研究室創設20周年記念論文集,3,龍田考古会編,龍田考古会(熊本大学文学部考古学研究室内),1994-
先史学・考古学論究 : 熊本大学文学部考古学研究室創設20周年記念論文集,4,龍田考古会編,龍田考古会(熊本大学文学部考古学研究室内),1994-
阡陵 : 関西大学博物館学課程創設二十周年記念特集,,関西大学博物館学課程編著,関西大学考古学等資料室,1982
阡陵 : 関西大学博物館学課程創設三十周年記念特集,,関西大学博物館学課程編著,関西大学考古学等資料室,1992
阡陵 : 関西大学博物館学課程創設50周年記念特集,,,,
都出比呂志先生退任記念 (待兼山考古学論集 ; [1]),1,大阪大学考古学研究室編集,大阪大学考古学研究室,2005
大阪大学考古学研究室30周年記念論集 (待兼山考古学論集 ; [2]),2,大阪大学考古学研究室編集,大阪大学考古学研究室,
横山浩一先生追悼文集,,,,
吾々の考古学,,,,
国家形成期の考古学,,,,
九州と東アジアの考古学,上,,,
九州と東アジアの考古学,下,,,
時空をこえた対話ー三田の考古学ー,,,,
海洋科学博物館三十年のあゆみ,,,,
考古学論攷Ⅰ,,,,
駿台考古学論集,1,明治大学考古学専攻講座創設二十五周年記念会,,
駿台考古学論集,2,明治大学考古学専攻講座創設二十五周年記念会,,
駿台考古学論集,3,明治大学考古学専攻講座創設五十周年記念会企画・編集,示人社,2000
駿台考古学論集,4,明治大学考古学専攻講座創設五十周年記念会企画・編集,示人社,2000
駿台考古学論集,5,明治大学考古学専攻講座創設五十周年記念会企画・編集,示人社,2000
駿台考古学論集,6,明治大学考古学専攻講座創設五十周年記念会企画・編集,示人社,2000
水と土の考古学 : 小江慶雄先生還暦記念論集,,小江先生還暦記念論集刊行会編,考友会,1973
考古学と技術,同志社大学考古学シリーズⅣ,,,
考古学と生活文化,同志社大学考古学シリーズⅤ,,,
考古学と信仰,同志社大学考古学シリーズⅥ,,,
考古学に学ぶ,同志社大学考古学シリーズⅦ,,,
考古学に学ぶⅡ,同志社大学考古学シリーズⅧ,,,
考古学に学ぶⅢ,同志社大学考古学シリーズⅨ,,,
考古学は何を語れるか,同志社大学考古学シリーズⅩ,,,
森浩一先生に学ぶ,同志社大学考古学シリーズⅪ,,,
同志社大学考古学研究会　五〇周年記念論集,,,,
中国地方製鉄遺跡の研究,,,,
広島大学文学研究科　考古学研究室５０周年記念論文集・文集,,,,
立命館大学考古学論集Ⅰ,,,,
立命館大学考古学論集Ⅱ,,,,
立命館大学考古学論集Ⅲ-1,,,,
立命館大学考古学論集Ⅲ-2,,,,
立命館大学考古学論集Ⅳ,,,,
立命館大学考古学論集Ⅴ,,,,
立命館大学考古学論集Ⅵ,,,,
考古学論考 : 小林行雄博士古稀記念論文集,,小林行雄博士古稀記念論文集刊行委員会編,平凡社,1982
古文化財の自然科学的研究,,古文化財編集委員会編,同朋舎出版,1984
考古学論集,第3集,考古学を学ぶ会編,歴文堂書房,1985-1992
京都府埋蔵文化財論集,第1集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
京都府埋蔵文化財論集,第2集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
京都府埋蔵文化財論集,第3集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
京都府埋蔵文化財論集,第4集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
京都府埋蔵文化財論集,第5集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
京都府埋蔵文化財論集,第6集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
京都府埋蔵文化財論集,第7集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
京都府埋蔵文化財論集,第8集,京都府埋蔵文化財調査研究センター[編] ,京都府埋蔵文化財調査研究センター,1987-
財団法人静岡県埋蔵文化財調査研究所　10周年記念論文集,,,,
財団法人静岡県埋蔵文化財調査研究所　設立20周年記念論文集,,,,
設立三十周年記念誌,,,,
第３次埋蔵文化財白書,,,,
木・ひと・文化,,,,
横浜市史　第一巻,,,,
埼玉考古学論集,,,,
東海縄文論集,,,,
渥美半島の考古学,,,,
村瀬潔先生古稀記念論文集,,,,
縄文土器の研究,,,,
縄文ランドスケープ,,,,
縄文の布,,,,
認知考古学の理論と実践的研究,,,,
実証の考古学,同志社大学考古学シリーズⅫ,,,
文化の多様性と21世紀の考古学 = Cultural diversity and the archaeology of the 21st century,,考古学研究会編,考古学研究会,2004
論集徳島の考古学,,徳島考古学論集刊行会編,徳島考古学論集刊行会,2002
製鉄史論文集 : たたら研究会創立四〇周年記念,,たたら研究会編,たたら研究会,2000
北陸の考古学 (石川考古学研究会々誌 ; 第42号),42,石川考古学研究会編,石川考古学研究会,1983-1999
北陸の考古学Ⅱ,,,,
北陸の考古学Ⅲ,,,,
能登半島の考古学(石川考古学研究会々誌 ; 第44号 濱岡賢太郎先生追悼号),44,石川考古学研究会編,石川考古学研究会,2001
愛知県南知多町の考古資料,,知多古文化研究会編,不明,1997
紀伊半島の文化史的研究,民俗編,"横田健一,上井久義編著",関西大学出版部,1988
紀伊半島の文化史的研究 (関西大学文学部考古学研究 ; 第6冊),考古学編 本文,関西大学文学部考古学研究室編,清文堂出版,1992
紀伊半島の文化史的研究 (関西大学文学部考古学研究 ; 第6冊),考古学編 図版,関西大学文学部考古学研究室編,清文堂出版,1992
紀伊半島の文化史的研究 (関西大学文学部考古学研究 ; 第6冊),考古学編 附図,関西大学文学部考古学研究室編,清文堂出版,1992
山梨県考古学協会10周年記念論文集  (山梨考古学論集2),2,山梨県考古学協会編,山梨県考古学協会,1989
展望考古学 : 考古学研究会40周年記念論集,,考古学研究会編,考古学研究会,1995
文化の多様性と比較考古学2004 : 考古学研究会50周年記念論文集,,考古学研究会編,考古学研究会,2004
九州考古学の諸問題,,福岡考古学研究会編,東出版,1975
亀井明徳氏追悼・貿易陶磁研究等論文集,,,,
山梨考古学論集Ⅳ,,,,
考古学の学際的研究,,,,
二十一世紀考古学の現在,,,,
展望考古学 : 考古学研究会40周年記念論集,,,,
人間・遺跡・遺物 (わが考古学論集 ; 2),,,,
東北考古学の諸問題,,,,
神奈川を掘るⅠ 2015,,,,
神奈川を掘るⅡ 2017,,,,
神奈川を掘るⅢ 2019,,,,
長野県の考古学,,,,
長野県の考古学Ⅱ,,,,
茅野市尖石縄文考古館開館一〇周年記念論文集,,,,
大阪市文化財論集,,,,
王陵の比較研究,,,,
北海道における農耕の起源（予報）,,,,
古代家犬の系統と移動に関する研究,,,,
環太平洋北部地域における狩猟獣の捕獲・配分・儀礼,,,,
竪穴式石室の地域性の研究,,,,
水田遺構集成,,高谷好一ほか編,農耕文化研究振興会,1988
東日本における中世窯業の基礎的研究,,,,
古代出雲文化の展開に関する総合的研究,,,,
律令期祭祀遺物集成,,,,
日本古代葬制の考古学的研究,,,,
古代東アジアの青銅器製作技術の研究,,,,
関東地方における終末期古墳の研究,,,,
「日本と中国における都市の比較史的研究」研究報告第２号,,,,
日本旧石器時代から縄文時代への推移に関する構造的研究,,,,
現代日本の地域社会の構造分析,,,,
公開シンポジウム「先史モンゴロイド集団の拡散と適応戦略」　予稿集,,,,
東北アジアにおける文明の源流の考古学的研究,,,,
日本古代の葬制と社会関係の基礎的研究,,,,
重点領域研究「遺跡探査」第3回研究成果検討会議論文集,,,,
重点領域研究「遺跡探査」第4回研究成果検討会議論文集,,,,
重点領域研究「遺跡探査」第5回研究成果検討会議論文集,,,,
タイ国東北部および北部におけるオーラルヒストリーに基づく村落史の研究,,,,
西洋における家族・定住・空間組織の史的研究,,,,
「大学から社会への情報発信の研究」　第1回研究会報告書,,,,
近代化プロセスにおける家族と郷土の比較文化史,,,,
ヒスイ製品の流通と交易形態に関する経済考古学的研究,,,,
近畿地方における中・近世墓地の基礎的研究,,,,
前方後円墳の築造規格からみた古墳時代の政治的変動の研究,,,,
石器石材からみた西日本における旧石器時代集団関係の研究,,,,
鷹島海底における元寇関係遺跡の調査・研究・保存方法に関する基礎的研究,,,,
南九州地域における原始・古代文化の諸様相に関する総合的研究,,,,
伊勢国鈴鹿関に関する基礎的研究　研究成果報告書,,,,
古墳時代首長系譜変動パターンの比較研究,,,,
磐越地方における古墳文化形成過程の研究,,,,
東北アジアにおける先史文化の比較考古学的研究,,,,
古墳時代前・中期における埋葬人骨と親族関係,,,,
遺跡出土イルカ骨の計測値と非計測的形質による個体別分析,,,,
古墳時代東国における渡来系文化の受容と展開,,,,
遊牧民と農耕民の文化接触による中国文明形成過程の研究,,,,
日本人の顔―過去・現在・未来―講演抄録集,,,,
竪穴住居の空間分節に関する復原研究,,,,
トイレ遺構の総合的研究,,,,
墳丘のない墓の探査研究,,,,
玄界灘における海底遺跡の探査と確認調査,,,,
遊牧騎馬民族文化の生成と発展過程の考古学的研究,,,,
縄文・弥生時代における石製製粉具の研究,,,,
古代日韓交流の考古学的研究,,,,
考古学資料集１　旧石器時代の打製骨器,,,,
考古学資料集２　シベリアの細石刃石器群,,,,
考古学資料集３　黒潮圏の磨製石斧,,,,
考古学資料集１６　佐賀県大友遺跡,,,,
考古学資料集２５　東アジアの囲壁・環濠集落,,,,
考古学資料集３０　佐賀県大友遺跡Ⅱ,,,,
対馬吉田遺跡,,,,
１７世紀後半のイングランドにおける実験的自然学の成立と近代的認識論の形成,,,,
縄文時代島嶼部イノシシに関する基礎的研究,,,,
東アジアにおける支石墓の総合的研究,,,,
遺跡出土の動物遺存体に関する基礎的研究,,,,
原始・古代安房国の特質と海上交通,,,,
青銅器の図象記号による殷後期社会の研究,,,,
中國古代都市の形成,,,,
中国沿海岸における龍山時代の地域間交流,,,,
縄紋晩期前葉―中葉の広域編年,,,,
戦争遺跡に対する考古学的調査及び研究方法の検討,,,,
居住形態と集落構造から見たオホーツク文化の考古学的研究,,,,
文化庁　平成１４年度芸術拠点形成事業（展覧会事業等支援）「日韓文化芸術交流史の解明と普及による芸術文化拠点形成事業」報告書,,,,
旧石器人の居住様式と動物群,,,,
西日本の石灰岩地帯における環境適応,,,,
東アジアにおける古代鉄鍛冶技術の伝播と展開,,,,
インドのパーラ朝美術の図象学的研究,,,,
『動物考古学的方法による日本、および周辺地域における古代家畜史の研究』,,,,
西日本における前方後円墳消滅過程の比較研究,,,,
解体修理で下された建築部材の基礎的研究,,,,
保存処理後遺物の経年調査,,,,
古墳時代におけるヒスイ勾玉の生産と流通過程に関する研究,,,,
韓半島出土翡翠勾玉集成,,,,
弥生時代成立期における渡来人問題の考古学的研究,,,,
小値賀島遺跡群の調査,,,,
日本水稲農耕の起源地に関する総合的研究,,,,
ベトナム胡朝城の研究Ⅰ,,,,
東大寺成立過程の研究,,,,
１３～１４世紀の琉球と福建,,,,
紫金山古墳の研究,,,,
環東中国海沿岸地域の先史文化,,,,
縄文時代・弥生時代の高精度年代体系の構築,,,,
朝鮮半島系渡来文化の伝播・普及と首長系譜変動の比較研究,,,,
東アジア地域における青銅器文化の移入と変容および流通に関する多角的比較研究,,,,
先史琉球の生業と交易 改訂版,,,,
先史琉球の生業と交易 ２,,,,
シンポジウム『洞穴遺跡の諸問題』発表要旨,,,,
古墳時代木棺の用材選択に関する研究,,,,
先史時代における居住様式と動物相の歴史変遷に関する日仏比較研究,,,,
百済集落の研究,,,,
図像構成からみた高句麗前期の壁画古墳の特性と被葬者の出自の研究,,,,
「備中国賀陽郡服部郷図」の再検討,,,,
石笵を用いた鋳造の研究,,,,
鏡笵研究Ⅰ,,,,
鏡笵研究Ⅱ,,,,
鏡笵研究Ⅲ,,,,
鏡笵研究Ⅳ,,,,
古墳時代におけるコウヤマキ材の利用実態に関する総合的研究,,,,
山岳信仰の考古学的研究ー吉野山南部遺跡群の測量・踏査報告書ー,,,,
古墳時代鉄鏃の変遷にみる儀仗的武装の基礎的研究,,,,
長崎県北松浦郡鷹島周辺海底に眠る元寇関連遺跡・遺物の把握と解明,文献資料篇　第一冊,,,
長崎県北松浦郡鷹島周辺海底に眠る元寇関連遺跡・遺物の把握と解明,文献資料篇　第二冊,,,
長崎県北松浦郡鷹島周辺海底に眠る元寇関連遺跡・遺物の把握と解明,文献資料篇　第三冊,,,
長崎県北松浦郡鷹島周辺海底に眠る元寇関連遺跡・遺物の把握と解明,報告書　第一冊,,,
長崎県北松浦郡鷹島周辺海底に眠る元寇関連遺跡・遺物の把握と解明,報告書　第二冊,,,
長崎県北松浦郡鷹島周辺海底に眠る元寇関連遺跡・遺物の把握と解明,報告書　第三冊,,,
水中考古学手法による元寇沈船の調査と研究　研究成果最終報告書,第一冊,,,
水中考古学手法による元寇沈船の調査と研究　研究成果最終報告書,第二冊,,,
水中考古学手法による元寇沈船の調査と研究　研究成果最終報告書,第三冊,,,
水中考古学手法による元寇沈船の調査と研究　研究成果最終報告書,文献資料篇　第一冊,,,
常陸国那賀郡家周辺の研究,,,,
吉備地域における巨大古墳形成過程の研究,,,,
交替劇　A-01班　考古資料に基づく旧人・新人の学習行動の実証的研究４,２０１３年度,,,
交替劇　A-01班　考古資料に基づく旧人・新人の学習行動の実証的研究５,２０１４年度,,,
交替劇　A-02班　研究報告書４,,,,
交替劇　研究項目B01　2013年度研究報告書,,,,
交替劇　C02班　2010-11年度研究報告,,,,
交替劇　第2回研究大会,,,,
交替劇　第8回研究大会,,,,
交替劇　第9回研究大会,,,,
若狭における弥生時代前期の遺跡,,,,
RNMH PROJECT 2010-2014,,,,
Replacement of Neanderthals by Modern Humans: Testing Evolutionaly Models of Learning,The First Conference,,,
Replacement of Neanderthals by Modern Humans: Testing Evolutionaly Models of Learning,The 3rd Conference,,,
Replacement of Neanderthals by Modern Humans: Testing Evolutionaly Models of Learning,The 4th Conference,,,
Replacement of Neanderthals by Modern Humans: Testing Evolutionaly Models of Learning,The 5th Conference,,,
北武蔵の埴輪生産と埼玉古墳群,,,,
東アジアにおける初期都宮および王墓の考古学的研究,,,,
古墳時代政権交代論の考古学的再検討,,,,
朝鮮半島三国時代の倭系遺物を副葬する古墳被葬者に関する研究,,,,
北東アジアにおける木棺墓の展開に関する総合的研究,,,,
考古学と地下探査の協同による近世薩摩焼研究再構築のための基礎的研究,,,,
新潟県卯ノ木泥炭層遺跡の発掘調査による縄文文化形成期の古環境と生業の研究,,,,
徳之島トマチン遺跡の研究,,,,
沿海州渤海土城の研究ークラスキノ土城を中心にー,,,,
慶應義塾大学日吉キャンパス一帯における戦争遺跡の研究,,,,
函館・江差の近世墓標と石造物,,,,
福島県における古墳時代から律令体制への転換過程の研究,,,,
植民地朝鮮における考古学的調査の再検討,,,,
弥生時代の鉄製刀剣,,,,
韓国無文土器・原三国時代の集落構造研究,,,,
古墳時代中期における短甲の同工品に関する基礎的研究,,,,
八代海沿岸地域における古墳時代在地墓制の発達過程に関する基礎的研究,,,,
古墳時代前期の鉄製刀剣,,,,
日本における木の造形的表現とその文化的背景に関する総合的考察,,,,
日本における木の造形的表現とその文化的背景に関する総合的考察　<考察編>,,,,
弥生農耕の起源と東アジア,,,,
浙江省余姚田螺山遺跡の学際的総合研究,,,,
東日本先史時代土器編年における標式資料・基準資料の基礎的研究,,,,
弥生時代における初期鉄器の舶載時期とその流通構造の解明,,,,
地理情報システムを用いた歴史的地域景観復元のための技術的検討,,,,
遼寧を中心とする東北アジア古代史の再構成,,,,
瀬戸内―中国山地―日本海地帯のサヌカイトと隠岐産黒曜石利用からみた先史物流の形成,,,,
近畿地方における大型古墳群の基礎的研究,,,,
弥生・古墳時代における太平洋ルートの文物交流と地域間関係の研究,,,,
東大寺山古墳の研究,,,,
考古資料における三次元デジタルアーカイブの活用と展開,,,,
渡来遺物からみた古代日韓交流の考古学的研究,,,,
第５回共同研究會　日韓集落研究の新たな視角を求めて,,,,
日韓集落の研究　（中間報告２）　　　　　　　　　　　　　,,,,
第６回共同研究会　日韓集落研究の新たな視角を求めて　Ⅱ,,,,
日韓集落の研究　（最終報告書）,,,,
土器使用痕研究,,,,
東北アジアにおける古環境変動と旧石器編年に関する基礎的研究,,,,
蛍光X線分析による高麗鏡の研究,,,,
須恵器生産における古代から中世への変質過程の研究,,,,
鉛同位体比法を用いた東アジア世界における金属の流通に関する歴史的研究,,,,
摩尼寺「奥の院」遺跡,,,,
中近世北方交易と蝦夷地の内国化に関する研究,,,,
三角縁神獣鏡および共伴銅鏡集成,,,,
古墳時代環頭大刀集成,,,,
古墳時代甲冑集成,,,,
21世紀初頭における古墳時代歴史像の総括的提示とその国際発信,,,,
大阪上町台地の総合的研究,,,,
備前邑久窯跡群の研究,,,,
沖永良部島　鳳雛洞・大山水鏡洞の研究,,,,
七観古墳の研究,,,,
写真資料の分析を通してみた植民地朝鮮における考古学的調査の再検討,,,,
長目塚古墳の研究,,,,
三次元レーダー測量を利用した古墳時代甲冑製作の復元的研究,,,,
キリシタン墓と中国人墓にみる大航海時代の外来墓制に関する基礎的研究,,,,
植物・土器・人骨の分析を中心とした日本列島農耕文化複合の形成に関する基礎的研究,,,,
東日本における食糧生産の開始と展開の研究ーレプリカ法を中心としてー,,,,
阿武隈川流域における古墳時代首長層の動向把握のための基礎的研究,,,,
国郡制と国府成立の研究,,,,
日本版パブリック・アーケオロジーの探索,,,,
山の神古墳の研究,,,,
古代都城出土の植物種実,,,,
越前三国湊の中近世墓標,,,,
甲冑編年の再構築に基づくモノの履歴と扱いの研究,,,,
太宰府の軍備に関する考古学的研究,,,,
中国新石器時代における家畜・家禽の起源と東アジアへの拡散の動物考古学的研究,,,,
五斗米道の成立・展開・信仰内容の考古学的研究,,,,
中国とロシア沿海地方における渤海の考古学的研究,,,,
International Perspectives in East Asian Aechaeology Ⅱ,,,,
大英博物館ゴーランド・コレクションの調査から,,,,
ゴーランド・コレクション総合研究の新知見に基づく日本古墳時代像・研究史の再構築,No.1,,,
ゴーランド・コレクション総合研究の新知見に基づく日本古墳時代像・研究史の再構築,No.2,,,
ゴーランド・コレクション総合研究の新知見に基づく日本古墳時代像・研究史の再構築,No.3,,,
越前敦賀湊の中近世石造物,,,,
パレオアジア文化史学 ーアジアにおけるホモ・サピエンス定着プロセスの地理的編年的枠組み構築ー,,,,
パレオアジア文化史学 ーアジアにおけるホモ・サピエンス定着期の気候変動と居住環境の解明ー,,,,
パレオアジア文化史学 ーアジア新人文化形成プロセスの総合的研究ー,,,,
パレオアジア文化史学 ー人類集団の拡散と定着にともなう文化・行動変化の現象数理学的モデル構築ー,,,,
The 3rd Conference on Cultural History of PaleoAsia,,,,
The 4th Conference on Cultural History of PaleoAsia,,,,
The 5th Conference on Cultural History of PaleoAsia,,,,
日本近世における外来系墓碑の変容過程に関する実証的研究,,,,
国宝桜ヶ丘銅鐸の総合診断調査と今後の保存活用ー発見５０年目を迎えるにあたってー,,,,
藤ノ木古墳出土品からみた考古系博物館における展示・公開に関する総合的研究,,,,
石鏃を中心とする押圧剥離系列石器群の石材別広域編年の整備,,,,
木津川・淀川流域における弥生〜古墳時代集落・墳墓の動態に関する研究,,,,
三次元計測を応用した青銅器製作技術からみた三角縁神獣鏡の総合的研究,,,,
古墳時代〜奈良時代の西日本集落遺跡における倉庫遺構に関する研究,,,,
古墳時代中期における甲冑生産組織の研究ー「型紙」と製作工程の分析を中心としてー,,,,
日本中世における戦死者供養の実証的研究,,,,
平泉周辺石造物集成,,,,
前方後円墳の三次元計測,,,,
渡来系資料からみた東国古墳時代の交流ルートの解明,,,,
祭祀儀礼と景観の考古学,,,,
Interaction and Transformations,,,,
東アジアと日本ー交流と変容ー,,,,
遼文化・遼寧省調査報告書,,,,
皇太后の山寺ー山科安祥寺創建の背景をさぐるー,,,,
安祥寺の研究Ⅰ,,,,
安祥寺の研究Ⅱ,,,,
伊豆修験の考古学的研究ー基礎的史資料の再検証と「伊豆峯」の踏査ー,,,,
伊豆修験の考古学的研究ー基礎的史資料の再検証と「伊豆峯」の踏査ーⅡ,,,,
縄文時代異形土器集成図譜Ⅰ,,,,
縄文時代異形土器集成図譜 II,,,,2025
劣化画像の再生活用と資料化に関する基礎的研究,平成12年度,,,
劣化画像の再生活用と資料化に関する基礎的研究,平成13年度,,,
劣化画像の再生活用と資料化に関する基礎的研究,平成14年度,,,
劣化画像の再生活用と資料化に関する基礎的研究,平成15年度,,,
劣化画像の再生活用と資料化に関する基礎的研究,平成16年度,,,
劣化画像の再生活用と資料化に関する基礎的研究,平成17年度,,,
人文科学と画像資料研究,第１集,,,
人文科学と画像資料研究,第２集,,,
人文科学と画像資料研究,第３集,,,
土器型式論の実践的研究,,,,
型式論の実践的研究Ⅰー地域編年研究の広域展開を目指してー,,,,
九州における横穴式石室の導入と展開（Ⅰ）,,,,
九州における横穴式石室の導入と展開（Ⅱ）,,,,
蛍光X線分析装置による黒曜石製遺物の原産地推定　基礎データ集（１）,,,,
蛍光X線分析装置による黒曜石製遺物の原産地推定　基礎データ集（２）,,,,
陶器手榴弾弾体の考古学的研究,,,,
考古学からみた社会の複雑化,,,,
考古資料と民具資料の総合的研究,,,,
水中文化遺産の保存と活用のためのネットワーク構築,,,,
平成20年度「水中文化遺産担当者協議会」〜地域活性化の資源としての水中文化遺産を考える〜,,,,
水中文化遺産データベース作成と水中考古学の推進,,,,
日韓交流史理解促進事業報告書,平成14年度,,,
日韓交流史理解促進事業報告書,平成15年度,,,
日韓交流史理解促進事業調査研究報告書,,,,
日本考古学年報,1〜5,,,
日本考古学年報,2,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,5,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,6,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,7,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,9,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,12,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,13,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,14,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,15,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,16,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,17,日本考古学協会編纂,誠文堂新光社,1951-
日本考古学年報,18,日本考古学協会編纂,誠文堂新光社,1951-
